actor,show,wikipedia link,terminal school,school (2),relatives,film credits,tv credits,theater credits
Angela Reed,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Angelo Soriano,Here Lies Love,,,,,,,
Ann Sanders,Camelot,,,,,,,
Anna Uzele,"New York, New York",,Texas State University,,,,,5
Anna Uzele,Six,,Texas State University,,,,,5
Anthony Michael Lopez,Camelot,,,,,,,
Anthony Rosenthal,Leopoldstadt,,,,,,,
Antoine L. Smith,MJ The Musical,,,,,,,
Apollo Levine,MJ The Musical,,,,,,,
Aramie Payton,MJ The Musical,,,,,,,
Ariel Reid,Aladdin,,,,,,,
Arty Froushan,Leopoldstadt,,,,,,,
Ashi K. Smythe,The Lion King,,,,,,,
Ashley Blair Fitzgerald,"New York, New York",,,,,,,
Ashley Chiu,Once Upon a One More Time,,,,,,,
Ashley D. Kelley,Shucked,,,,,,,
Ashley Elizabeth Hale,Some Like It Hot,,,,,,,
Ashley Loren,Moulin Rouge! The Musical,,,,,,,
Ashlyn Maddox,Parade,,,,,,,
Aubrey Lynch II,The Lion King,,,,,,,
Audrey Cardwell,Shucked,,,,,,,
Aurelia Williams,Parade,,,,,,,
Austin Smith,Hamilton,,,,,,,
Ava Michele Hyl,Leopoldstadt,,,,,,,
Avery Glymph,Life of Pi,,,,,,,
Ayana George,MJ The Musical,,,,,,,
Bahiyah Hibah,Moulin Rouge! The Musical,,,,,,,
Bailee Endebrock,Parade,,,,,,,
Ben Cameron,Wicked,,,,,,,
Ben Davis,"New York, New York",,,,,,,
Ben Jackson Walker,& Juliet,,,,,,,
Benja Kay Thomas,Fat Ham,,,,,,,
Benjamin Schrader,The Book of Mormon,,,,,,,
Benjamin Wheelwright,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Beth Kirkpatrick,Parade,,,,,,,
Betsy Rosen,Life of Pi,,,,,,,
Bianca Horn,Peter Pan Goes Wrong,,,,,,,
Billy Eugene Jones,Fat Ham,,,,,,,
"Bobby ""Pocket"" Horner",& Juliet,,,,,,,
Bobby Pestka,Aladdin,,,,,,,
Brandon Antonio,& Juliet,,,,,,,
Brandon O'Neill,Aladdin,,,,,,,
Brandt Martinez,Aladdin,,-,,,,,11
Brandt Martinez,Moulin Rouge! The Musical,,-,,,,,11
Brenann Stacker,Peter Pan Goes Wrong,,,,,,,
Brendon Stimson,Some Like It Hot,,,,,,,
Bri Sudia,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Brian Abraham,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Brian Gonzales,Aladdin,,,,,,,
Brian Martin,Some Like It Hot,,,,,,,
Brian Sears,The Book of Mormon,,,,,,,
Brian Thomas Abraham,Life of Pi,,,,,,,
Brinie Wallace,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Britney Nicole Simpson,Camelot,,,,,,,
Brittany Nicholas,& Juliet,,,,,,,
Brittney Mack,Six,,,,,,,
Brontë England-Nelson,The Sign in Sidney Brustein's Window,,,,,,,
Bruce Anthony Davis,Chicago,,,,,,,
Bryan J. Cortés,"New York, New York",,,,,,,
Bud Weber,Aladdin,,,,,,,
Byron Jennings,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Caitlin Carter,Chicago,,,,,,,
Caleb Marshall,Moulin Rouge! The Musical,,,,,,,
Calvin James Davis,Leopoldstadt,,,,,,,
Calvin Leon Smith,Fat Ham,,,,,,,
Camden McKinnon,Camelot,,,,,,,
Camille M. Brown,The Lion King,,,,,,,
Carina-Kay Louchiey,MJ The Musical,,,,,,,
Carleigh Bettiol,Hamilton,,,,,,,
Carol Angeli,Here Lies Love,,,,,,,
Caroline Fairweather,Parade,,,,,,,
Casey Garvin,Some Like It Hot,,,,,,,
Celia Mei Rubin,Life of Pi,,,,,,,
Charles South,Some Like It Hot,,,,,,,
Charlie Russell,Peter Pan Goes Wrong,,,,,,,
Charlie Webb,Parade,,,,,,,
Charlotte Graham,Leopoldstadt,,,,,,,
Chase Ramsey,The Book of Mormon,,,,,,,
Chris Herbie Holland,Fat Ham,,,,,,,
Chris Leask,Peter Pan Goes Wrong,,,,,,,
Christian Mark Gibbs,Camelot,,,,,,,
Christian Wilson,MJ The Musical,,,,,,,
Christine Yasunaga,The Lion King,,,,,,,
Christopher Gurr,Parade,,,,,,,
Christopher Jackson,Hamilton,,American Musical and Dramatic Academy,,,8,15,16
Christopher Jackson,The Lion King,,American Musical and Dramatic Academy,,,8,15,16
Christopher James Stevens,Leopoldstadt,,,,,,,
Claire Karpen,Grey House,,,,,,,
Clark Johnsen,The Book of Mormon,,,,,,,
Colby Kipnes,Grey House,,,,,,,
Colin Bradbury,Funny Girl,,,,,,,
Colleen Litchfield,Leopoldstadt,,,,,,,
Corey Brill,Leopoldstadt,,,,,,,
Corinne McFadden,Wicked,,,,,,,
Courtnee Carter,Parade,,,,,,,
Courtney Mack,Six,,,,,,,
Cristy Candler,Wicked,,,,,,,
Cyndi Coyne,Grey House,,,,,,,
D. Sabella,Chicago,,,,,,,
Daisy Hobbs,Aladdin,,,,,,,
Dani Arlington,Prima Facie,,,,,,,
Daniel Beeman,Funny Girl,,,,,,,
Daniel Cantor,Leopoldstadt,,,,,,,
Daniel J. Maldonado,& Juliet,,,,,,,
Daniel Reece,Grey House,,,,,,,
Daniel Torres,Sweeney Todd,,,,,,,
Danielle Kelsey,Funny Girl,,,,,,,
Danielle Lee Greaves,Parade,,,,,,,
Danny Wolohan,Camelot,,,,,,,
Darius Wright,MJ The Musical,,-,,,,,6
Darius Wright,"New York, New York",,-,,,,,6
Darlesia Cearcy,The Book of Mormon,,,,,,,
Dave Register,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
David Abeles,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
David Hughey,Camelot,,,,,,,
David Shih,Life of Pi,,,,,,,
David St. Louis,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
David Warren-Gibson,Chicago,,,,,,,
Davis Wayne,"New York, New York",,,,,,,
Dayna Marie Quincy,"New York, New York",,,,,,,
Debra Cardona,Funny Girl,,,,,,,
DeLaney Westfall,Sweeney Todd,,,,,,,
Delphi Borich,Camelot,,,,,,,
DeMarius R. Copes,Some Like It Hot,,,,,,,
Dennis Stowe,Aladdin,,,,,,,
Derrick Williams,Wicked,,,,,,,
Devin Trey Campbell,MJ The Musical,,,,,,,
Devon Hadsell,Some Like It Hot,,,,,,,
Diana Vaden,Once Upon a One More Time,,,,,,,
Don Darryl Rivera,Aladdin,,,,,,,
Donald Jones Jr.,Aladdin,,,,,,,
Douglas Lyons,Parade,,,,,,,
Drew Redington,"New York, New York",,,,,,,
Drew Squire,Leopoldstadt,,,,,,,
Dwayne Clark,Shucked,,,,,,,
Dwayne Cooper,Sweeney Todd,,,,,,,
Dylan Paul,Moulin Rouge! The Musical,,,,,,,
Dylan S. Wallach,Leopoldstadt,,,,,,,
Eamon Patrick O'Connell,Grey House,,,,,,,
Eden Epstein,Leopoldstadt,,,,,,,
Edward James Hyland,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Edwin Joseph,Camelot,,,,,,,
Ellie Morris,Peter Pan Goes Wrong,,,,,,,
Emily Rose DeMartino,Parade,,,,,,,
Emma Safiyah Haeri,Grey House,,,,,,,
Endalyn Taylor-Shellman,The Lion King,,,,,,,
Ephie Aardema,Funny Girl,,,,,,,
Erin Rose Doyle,Parade,,,,,,,
Erin Rosenfeld,Grey House,,,,,,,
Esther Antoine,Some Like It Hot,,,,,,,
Eugene Barry-Hill,The Lion King,,,,,,,
Evan Kinnane,Moulin Rouge! The Musical,,,,,,,
Faca Kulu,The Lion King,,,,,,,
Faye Castelow,Leopoldstadt,,,,,,,
Felix Torrez-Ponce,Sweeney Todd,,,,,,,
Fergie Philippe,Camelot,,,,,,,
Fernell Hogan,Kimberly Akimbo,,,,,,,
Florrie Bagel,Parade,,,,,,,
Frank Viveros,Camelot,,,,,,,
Frank Wright II,The Lion King,,,,,,,
Fred Davis,Life of Pi,,,,,,,
Fred Odgaard,Moulin Rouge! The Musical,,,,,,,
Gabi Campo,Some Like It Hot,,,,,,,
Gabriel Ruiz,MJ The Musical,,,,,,,
Gabriella Enriquez,"New York, New York",,,,,,,
Gabrielle Beckford,Once Upon a One More Time,,,,,,,
Galyana Castillo,Sweeney Todd,,,,,,,
Geena Quintos,Here Lies Love,,,,,,,
Geoff Hoyle,The Lion King,,,,,,,
Gina Ferrall,Leopoldstadt,,,,,,,
Giovanni Bonaventura,"New York, New York",,,,,,,
Graham Bowen,The Book of Mormon,,,,,,,
Greg Tannahill,Peter Pan Goes Wrong,,,,,,,
Gregory Connors,The Sign in Sidney Brustein's Window,,,,,,,
Gus Birney,The Sign in Sidney Brustein's Window,,,,,,,
Haley Fish,"New York, New York",,,,,,,
Harry Bouvy,Parade,,,,,,,
Harry Kershaw,Peter Pan Goes Wrong,,,,,,,
Hennessy Winkler,Sweeney Todd,,,,,,,
Henry Lewis,Peter Pan Goes Wrong,,,,,,,
Holly Gould,Camelot,,,,,,,
Holly James,Moulin Rouge! The Musical,,,,,,,
Ian Campayno,Some Like It Hot,,,,,,,
Ian Liberto,"New York, New York",,,,,,,
Ioana Alfonso,Wicked,,,,,,,
Iresol Cardona,The Lion King,,,,,,,
Isabella Ye,Once Upon a One More Time,,,,,,,
J. Harrison Ghee,Some Like It Hot,,,,,,,
J. Loeffelholtz,Chicago,,,,,,,
Jackson Teeley,Parade,,,,,,,
Jacob Burns,Once Upon a One More Time,,,,,,,
Jacqueline B. Arnold,Moulin Rouge! The Musical,,,,,,,
Jacqueline Jarrold,Leopoldstadt,,,,,,,
Jake Pedersen,Parade,,,,,,,
James Romney,Camelot,,-,,,,,6
James Romney,"Harry Potter and the Cursed Child, Parts One and Two",,-,,,,,6
Jamie Jackson,Sweeney Todd,,,,,,,
Jan Neuberger,Wicked,,,,,,,
Japhet Balaban,Leopoldstadt,,,,,,,
Jared Grimes,Funny Girl,,,,,,,
"Jarvis B. Manning, Jr.",Some Like It Hot,,,,,,,
Jasmine Forsberg,Here Lies Love,,,,,,,
Jasmine Rafael,& Juliet,,,,,,,
Jason Michael Snow,The Book of Mormon,,,,,,,
Jaxon Cain Grundleger,Leopoldstadt,,,,,,,
Jaygee Macapugay,Here Lies Love,,-,,,,,4
Jaygee Macapugay,Shucked,,-,,,,,4
Jaz Sealey,Aladdin,,,,,,,
Jeanna de Waal,Sweeney Todd,,,,,,,
Jeff Williams,"New York, New York",,,,,,,
Jeigh Madjus,Here Lies Love,,-,,,,,4
Jeigh Madjus,Moulin Rouge! The Musical,,-,,,,,4
Jenna Augen,Leopoldstadt,,,,,,,
Jennifer Josephs,The Lion King,,,,,,,
Jennifer Rias,Aladdin,,,,,,,
Jenny Hill,Some Like It Hot,,,,,,,
Jess Barbagallo,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Jess LeProtto,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Jesse Aaronson,Leopoldstadt,,,,,,,
Jessie Fisher,"A Beautiful Noise, The Neil Diamond Musical",,-,,,,,5
Jessie Fisher,"Harry Potter and the Cursed Child, Parts One and Two",,-,,,,,5
Jessie Shelton,Hadestown,,,,,,,
Jewelle Blackman,Hadestown,,,,,,,
Jim Borstelmann,Chicago,,,,,,,
Jim Borstelmann,"New York, New York",,,,,,,
Jim Hogan,Kimberly Akimbo,,,,,,,
Jimmy Brewer,Shucked,,,,,,,
Jodi McFadden,Moulin Rouge! The Musical,,,,,,,
Joe Moeller,& Juliet,,,,,,,
Joey Auzenne,The Sign in Sidney Brustein's Window,,,,,,,
Joey LaBrasca,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Joey Sorge,MJ The Musical,,,,,,,
John Clay III,"New York, New York",,,,,,,
John Edwards,MJ The Musical,,,,,,,
John Eric Parker,The Book of Mormon,,,,,,,
John Krause,Hadestown,,,,,,,
John Manzari,Funny Girl,,,,,,,
John Michael Fiumara,Funny Girl,,,,,,,
John Mineo,Chicago,,,,,,,
John Rapson,Sweeney Todd,,,,,,,
John Zdrojeski,"Good Night, Oscar",,,,,,,
Jon Hoche,Life of Pi,,,,,,,
Jonathan Christopher,Sweeney Todd,,,,,,,
Jonathan David Martin,Life of Pi,,,,,,,
Jonathan Sayer,Peter Pan Goes Wrong,,,,,,,
Jonathan Schwartz,Aladdin,,,,,,,
Joomin Hwang,& Juliet,,,,,,,
Jordan Dobson,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Josh Tolle,Once Upon a One More Time,,,,,,,
Joshua Daniel Johnson,Once Upon a One More Time,,,,,,,
Joshua De Jesus,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Joshua Satine,Leopoldstadt,,,,,,,
Julia Abueva,Here Lies Love,,,,,,,
Julian De Niro,The Sign in Sidney Brustein's Window,,,,,,,
Julian Ramos,"New York, New York",,,,,,,
Julius Williams,Some Like It Hot,,,,,,,
Justice Moore,Once Upon a One More Time,,,,,,,
Justin Bohon,The Book of Mormon,,,,,,,
Justin David Sullivan,& Juliet,,,,,,,
Justin Prescott,Funny Girl,,,,,,,
K.J. Hippensteel,Some Like It Hot,,,,,,,
Kaitlin Mesh,Moulin Rouge! The Musical,,,,,,,
Kajuana Shuford,The Lion King,,,,,,,
Kali May Grinder,MJ The Musical,,,,,,,
Kalonjee Gallimore,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Kamille Upshaw,MJ The Musical,,,,,,,
Karine Plantadit-Bageot,The Lion King,,,,,,,
Karli Dinardo,Moulin Rouge! The Musical,,,,,,,
Kathryn Meisle,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Kathy Deitch,Wicked,,,,,,,
Katie Kreisler,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Katie Mitchell,Funny Girl,,,,,,,
Katya Campbell,The Sign in Sidney Brustein's Window,,,,,,,
Kay Trinidad,Hadestown,,,,,,,
Kayla Pecchioni,Some Like It Hot,,,,,,,
Keirsten Hodgens,Six,,,,,,,
Ken Wulf Clark,Shucked,,,,,,,
Kevin Bailey,The Lion King,,,,,,,
Kevin Del Aguila,Some Like It Hot,,,,,,,
Kevin Duda,The Book of Mormon,,,,,,,
Kevin Ligon,"New York, New York",,,,,,,
Kevin Trinio Perdido,Once Upon a One More Time,,,,,,,
Khaila Wilcoxon,Hadestown,,,,,,,
Khori Michelle Petinaud,Aladdin,,New York University,,,,,5
Khori Michelle Petinaud,Moulin Rouge! The Musical,,New York University,,,,,5
Kimberly Marable,Hadestown,,,,,,,
Kirstin Louie,Life of Pi,,,,,,,
Kisha Howard,Wicked,,,,,,,
Kristen Leigh Gorski,Wicked,,,,,,,
Kristie Dale Sanders,Sweeney Todd,,,,,,,
Kristina Doucette,Here Lies Love,,,,,,,
Kristine Covillo,"New York, New York",,,,,,,
Kurt Csolak,Funny Girl,,,,,,,
Kyle Brown,Moulin Rouge! The Musical,,,,,,,
Kyle Robinson,MJ The Musical,,,,,,,
Kyrie Courter,Sweeney Todd,,,,,,,
Lamont Walker II,MJ The Musical,,,,,,,
Lana Gordon,The Lion King,,,,,,,
Landon Maas,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Lauren Carr,"New York, New York",,,,,,,
Lauren Nicole Cipoletti,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Lauryn Ciardullo,Aladdin,,,,,,,
Lawrence Stallings,The Book of Mormon,,,,,,,
Lebo M,The Lion King,,,,,,,
Leo Moctezuma,"New York, New York",,,,,,,
Leslie Blake Walker,Funny Girl,,,,,,,
Leslie Donna Flesner,Funny Girl,,,,,,,
"Leslie Odom, Jr.",Hamilton,,,,,,,
Levensky Smith,The Lion King,,,,,,,
Lexi Rabadi,Sweeney Todd,,,,,,,
Lindiwe Dlamini,The Lion King,,,,,,,
Lindiwe Hlengwa,The Lion King,,,,,,,
Liv Battista,Once Upon a One More Time,,,,,,,
Liz McCartney,Funny Girl,,,,,,,
LJ Jellison,Wicked,,,,,,,
Lorna Ventura,Wicked,,,,,,,
Luca Thomas,Grey House,,,,,,,
Luis Perez,Chicago,,,,,,,
Mahira Kakkar,Life of Pi,,,,,,,
Mahnaz Damania,Life of Pi,,,,,,,
Maia Nkenge Wilson,The Book of Mormon,,,,,,,
Makai Hernandez,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Malcolm Armwood,Hadestown,,,,,,,
Malika Samuel,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Mallory Maedke,Six,,,,,,,
Mamie Duncan-Gibbs,Chicago,,,,,,,
Manuel Herrera,Wicked,,,,,,,
Marcel Spears,Fat Ham,,,,,,,
Marcus Choi,Wicked,,,,,,,
Maria Bilbao,Sweeney Todd,,,,,,,
Mariah Reives,Funny Girl,,,,,,,
Marilee Talkington,Camelot,,,,,,,
Mark Allan Davis,The Lion King,,,,,,,
Mark Jacoby,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Mark Lotito,Some Like It Hot,,,,,,,
Mark Myars,Wicked,,,,,,,
Marquis D. Gibson,Fat Ham,,,,,,,
Mary Ann Lamb,Chicago,,,,,,,
Mary Page Nance,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Masumi Iwai,Funny Girl,,,,,,,
Matías De La Flor,Camelot,,,,,,,
Matt Allen,Once Upon a One More Time,,,,,,,
Matt Harrington,Leopoldstadt,,,,,,,
Matt Raffy,& Juliet,,,,,,,
Matthew Cavendish,Peter Pan Goes Wrong,,,,,,,
Matthew Elijah Webb,Fat Ham,,,,,,,
Max Chernin,Parade,,,,,,,
Max Clayton,Moulin Rouge! The Musical,,,,,,,
Max Roll,"Good Night, Oscar",,,,,,,
Max Ryan Burach,Leopoldstadt,,,,,,,
Max Sangerman,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Megan Kane,& Juliet,,,,,,,
Megan Ort,Sweeney Todd,,,,,,,
Melissa Bell Chait,Wicked,,,,,,,
Melody Butiu,Here Lies Love,,,,,,,
Merwin Foard,Aladdin,,,,,,,
Mia Pinero,Sweeney Todd,,,,,,,
Michael Deaner,Leopoldstadt,,,,,,,
Michael Iskander,Kimberly Akimbo,,,,,,,
Michael Iván Carrier,& Juliet,,,,,,,
Michael Joy,The Lion King,,,,,,,
Michael Kubala,Chicago,,,,,,,
Michael Kuhn,Sweeney Todd,,,,,,,
Michael Mindlin,Aladdin,,,,,,,
Michael Seelbach,Wicked,,,,,,,
Michelle Mercedes,MJ The Musical,,,,,,,
Miguel Gil,Kimberly Akimbo,,,,,,,
Mike Cannon,Aladdin,,,,,,,
Mike Cefalo,"New York, New York",,,,,,,
Mikey Ruiz,Once Upon a One More Time,,,,,,,
Miki Abraham,Shucked,,,,,,,
Mila Weir,Once Upon a One More Time,,,,,,,
Mimi Scardulla,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Mindy Cooper,Chicago,,,,,,,
Monte Greene,Camelot,,,,,,,
Morgan Marcell,Hamilton,,-,,,,,10
Morgan Marcell,Moulin Rouge! The Musical,,-,,,,,10
Morgan Whitley,Once Upon a One More Time,,,,,,,
Moses Villarama,Here Lies Love,,,,,,,
Nancy Hess,Chicago,,,,,,,
Nancy Zamit,Peter Pan Goes Wrong,,,,,,,
Nandi Morake,The Lion King,,,,,,,
Naomi Kakuk,"New York, New York",,,,,,,
NaTasha Yvette Williams,Some Like It Hot,,,,,,,
Nathan Angelo,Here Lies Love,,,,,,,
Nathan Levy,Once Upon a One More Time,,,,,,,
Nathan Salstone,"Harry Potter and the Cursed Child, Parts One and Two",,Carnegie Mellon University,,,,,4
Nathan Salstone,Sweeney Todd,,Carnegie Mellon University,,,,,4
Neal Benari,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Nhlanhla Ngema,The Lion King,,,,,,,
Nicholas Christopher,Sweeney Todd,,,,,,,
Nicholas Edwards,& Juliet,,,,,,,
Nick Fradiani,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Nick Spangler,The Book of Mormon,,,,,,,
Nico DeJesus,& Juliet,,,,,,,
Nicole Kyoung-Mi Lambert,Six,,,,,,,
Nikki Calonge,Life of Pi,,,,,,,
Nikki Long,Aladdin,,,,,,,
Nina White,Kimberly Akimbo,,,,,,,
Ninako Donville,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Nkrumah Gatling,Camelot,,,,,,,
Ntomb'khona Dlamini,The Lion King,,,,,,,
Oliver Prose,"New York, New York",,,,,,,
Olivia Bond,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Olivia Elease Hardy,Kimberly Akimbo,,,,,,,
Olutayo Bosede,Moulin Rouge! The Musical,,,,,,,
Oyoyo Joi,MJ The Musical,,,,,,,
Paige Faure,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Paloma Garcia-Lee,Moulin Rouge! The Musical,,,,,,,
Pascal Pastrana,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Paul Thornley,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Paul Whitty,Camelot,,,,,,,
Paul-Jordan Jansen,Sweeney Todd,,,,,,,
Pauline Casiño,Once Upon a One More Time,,,,,,,
Pearl Scarlett Gold,Leopoldstadt,,,,,,,
Peter Anthony Moore,The Lion King,,,,,,,
Philip Dorian McAdoo,The Lion King,,,,,,,
Philip Stoddard,Camelot,,,,,,,
Philippe Arroyo,& Juliet,,,,,,,
Postell Pringle,"Good Night, Oscar",,,,,,,
Prentiss E. Mouton,Parade,,,,,,,
Quinn VanAntwerp,Shucked,,,,,,,
R.J. Foster,Fat Ham,,,,,,,
Rachel Fairbanks,Camelot,,,,,,,
Rachel Tecora Tucker,The Lion King,,,,,,,
Rachel Webb,& Juliet,,,,,,,
Raena White,Some Like It Hot,,,,,,,
Rajesh Bose,Life of Pi,,,,,,,
Ramone Nelson,MJ The Musical,,,,,,,
Raphael Nash Thompson,The Sign in Sidney Brustein's Window,,,,,,,
Raymond Baynard,MJ The Musical,,,,,,,
Raymond J. Lee,Sweeney Todd,,,,,,,
Reanne Acasio,Here Lies Love,,,,,,,
Reed Luplau,Moulin Rouge! The Musical,,,,,,,
Reese Bogin,Leopoldstadt,,,,,,,
Rema Webb,Fat Ham,,-,,,,,18
Rema Webb,The Book of Mormon,,-,,,,,18
Renée Albulario,Here Lies Love,,,,,,,
Renni Anthony Magee,MJ The Musical,,,,,,,
Rhea Patterson,Aladdin,,,,,,,
Rheaume Crenshaw,Shucked,,,,,,,
Rhett G. George,Wicked,,,,,,,
Richard Gatta,"New York, New York",,,,,,,
Richard Riaz Yoder,Some Like It Hot,,,,,,,
Ricky Rojas,Moulin Rouge! The Musical,,,,,,,
Robert Pendilla,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Rocker Verastique,Chicago,,,,,,,
Romy Fay,Leopoldstadt,,,,,,,
Ron Kunene,The Lion King,,,,,,,
Rowan Ian Seamus Magee,Life of Pi,,,,,,,
Roy Flores,Here Lies Love,,,,,,,
Ryan VanDenBoom,MJ The Musical,,,,,,,
Ryan Vincent Anderson,Peter Pan Goes Wrong,,,,,,,
Ryan Vona,Parade,,,,,,,
S'bu Ngema,The Lion King,,,,,,,
Salisha Thomas,Once Upon a One More Time,,,,,,,
Salma Qarnain,Life of Pi,,,,,,,
Sam Bell-Gurwitz,"Good Night, Oscar",,,,,,,
Sam J. Cahn,Moulin Rouge! The Musical,,,,,,,
Sam McKelton,The Lion King,,,,,,,
Samantha Gershman,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Samantha Pauly,Six,,,,,,,
Samantha Pollino,Sweeney Todd,,,,,,,
Samuel E. Wright,The Lion King,,,,,,,
Sarah Kay,Here Lies Love,,,,,,,
Sarah Killough,Leopoldstadt,,,,,,,
Sathya Sridharan,Life of Pi,,,,,,,
Scarlet Wilderink,Life of Pi,,,,,,,
Scott Barnhardt,The Book of Mormon,,,,,,,
Scott Stangland,Shucked,,,,,,,
"Sean Green, Jr.",Hamilton,,,,,,,
Selene Haro,Once Upon a One More Time,,,,,,,
Shea Renne,Here Lies Love,,,,,,,
Sheila Gibbs,The Lion King,,,,,,,
Shirine Babb,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Sindisiwe Nxumalo,The Lion King,,,,,,,
Skye Alyssa Friedman,Kimberly Akimbo,,,,,,,
Ṣọlá Fádìran,Camelot,,,,,,,
Sonya Leslie,The Lion King,,,,,,,
Sonya Venugopal,Life of Pi,,,,,,,
Sophia Manicone,Parade,,,,,,,
Stacie Bono,Parade,,,,,,,
Stanley Martin,Aladdin,,,,,,,
Stephanie Janssen,"Good Night, Oscar",,,,,,,
Stephanie Klemons,Hamilton,,,,,,,
Stephen Bradbury,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Stephen Hanna,"New York, New York",,,,,,,
Stephen James Anthony,Peter Pan Goes Wrong,,,,,,,
Stephen Mark Lukas,Funny Girl,,,,,,,
Stephen Scott Wormley,Once Upon a One More Time,,,,,,,
Stephen Tewksbury,Sweeney Todd,,,,,,,
Stuart Ward,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Sydney James Harcourt,Hamilton,,,,,,,
T. Oliver Reid,Hadestown,,,,,,,
Ta'Rea Campbell,The Book of Mormon,,,,,,,
Taeler Cyrus,Sweeney Todd,,,,,,,
Tanner Callicutt,Parade,,,,,,,
Tatiana Lofton,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,
Tavon Olds-Sample,MJ The Musical,,,,,,,
Tedra Millan,Leopoldstadt,,,,,,,
Tesia Kwarteng,Camelot,,,,,,,
Tess Soltau,Once Upon a One More Time,,,,,,,
Thayne Jasperson,Hamilton,,,,,,,
Thomas Michael Hammond,"Good Night, Oscar",,,,,,,
Tia Altinay,Aladdin,,,,,,,
Tiernan Tunnicliffe,& Juliet,,,,,,,
Timothy Hughes,Hadestown,,New York University,,,,,5
Timothy Hughes,Sweeney Todd,,New York University,,,,,5
Timothy Hunter,The Lion King,,,,,,,
Timothy Matthew Flores,Here Lies Love,,,,,,,
Tina Paul,Chicago,,,,,,,
Tommar Wilson,The Book of Mormon,,,,,,,
Toni DiBuono,Funny Girl,,,,,,,
Traci Elaine Lee,Shucked,,,,,,,
Trent Saunders,Aladdin,,,,,,,
TyNia René Brandon,Some Like It Hot,,,,,,,
Tyson Jennette,The Book of Mormon,,,,,,,
Uma Paranjpe,Life of Pi,,,,,,,
Usman Ali Mughal,Life of Pi,,,,,,,
Valerie Torres-Rosario,Camelot,,,,,,,
Vanessa A. Jones,The Lion King,,,,,,,
Vanessa Sears,"New York, New York",,,,,,,
Veronica Otim,& Juliet,,,,,,,
Virgil Gadson,& Juliet,,,,,,,
Voltaire Wade-Green,Hamilton,,,,,,,
Walter Russell III,MJ The Musical,,,,,,,
Walter Winston ONeil,Wicked,,,,,,,
Wendi Bergamini,"New York, New York",,,,,,,
Wesley Holloway,Leopoldstadt,,,,,,,
Whitney Bashor,MJ The Musical,,,,,,,
Will Coombs,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,
Winsome Brown,Grey House,,,,,,,
Wonza Johnson,MJ The Musical,,,,,,,
Yurel Echezarreta,Aladdin,,,,,,,
Yvette Gonzalez-Nacer,Hadestown,,,,,,,
Zelig Williams,MJ The Musical,,,,,,,