actor,opening night,show,wikipedia link,terminal school,school (2),relatives,theater credits,film credits,tv credits,screen credits before opening night,screen credits after opening night
Anna Uzele,2021,Six,,Texas State University,,,5,,,,
Andrea Macasaet,2021,Six,https://en.wikipedia.org/wiki/Andrea_Macasaet,The Canadian College of Performing Arts,,,10,1,,1,0
Norbert Leo Butz,2003,Wicked,https://en.wikipedia.org/wiki/Norbert_Leo_Butz,University of Alabama,Webster University,,20,17,20,5,32
John Vickery,1997,The Lion King,https://en.wikipedia.org/wiki/John_Vickery,"University of California, Davis",,,6,,,0,0
Daisuke Tsuji,2023,Life of Pi,https://en.wikipedia.org/wiki/Daisuke_Tsuji,"University of California, Los Angeles",,,1,5,10,15,0
Geraldine Hughes,2018,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Geraldine_Hughes,"University of California, Los Angeles",,,9,12,11,19,2
Danny Burstein,2019,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Danny_Burstein,"University of California, San Diego","City University of New York, Queens",,27,22,41,46,16
Howard McGillin,2023,Parade,https://en.wikipedia.org/wiki/Howard_McGillin,"University of California, Santa Barbara",,,21,,,0,0
Poppy Miller,2018,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Poppy_Miller,University of Cambridge,,,1,5,23,26,2
Betsy Wolfe,2022,& Juliet,https://en.wikipedia.org/wiki/Betsy_Wolfe,University of Cincinnati College-Conservatory of Music,,,22,4,2,7,0
Karen Olivo,2019,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Karen_Olivo,University of Cincinnati College-Conservatory of Music,,,17,,,0,0
Kristy Cates,2003,Wicked,https://en.wikipedia.org/wiki/Kristy_Cates,University of Cincinnati College-Conservatory of Music,,,9,,,0,0
Lewis Cleale,2011,The Book of Mormon,https://en.wikipedia.org/wiki/Lewis_Cleale,University of Miami,,,18,,,0,0
Lorna Courtney,2022,& Juliet,https://en.wikipedia.org/wiki/Lorna_Courtney,University of Michigan,,,5,,,0,0
Brooke Dillman,2023,Once Upon a One More Time,https://en.wikipedia.org/wiki/Brooke_Dillman,University of Missouri,,,,13,38,51,0
Adrianna Hicks,2021,Six,https://en.wikipedia.org/wiki/Adrianna_Hicks,University of Oklahoma,,,10,,,0,0
Quentin Earl Darrington,2022,MJ The Musical,https://en.wikipedia.org/wiki/Quentin_Earl_Darrington,University of South Florida,,,9,,,0,0
Briga Heelan,2023,Once Upon a One More Time,https://en.wikipedia.org/wiki/Briga_Heelan,University of Southern California,,,,4,4,8,0
Erica Dasher,2022,Leopoldstadt,https://en.wikipedia.org/wiki/Erica_Dasher,University of Southern California,,,4,8,7,15,0
Renée Elise Goldsberry,2015,Hamilton,https://en.wikipedia.org/wiki/Ren%C3%A9e_Elise_Goldsberry,University of Southern California,Carnegie Mellon University,,12,12,33,26,19
Stark Sands,2022,& Juliet,https://en.wikipedia.org/wiki/Stark_Sands,University of Southern California,,,11,15,12,27,0
Reeve Carney,2019,Hadestown,https://en.wikipedia.org/wiki/Reeve_Carney,University of Southern California,,Art Carney (great-uncle),3,7,5,10,1
Conrad Ricamora,2023,Here Lies Love,https://en.wikipedia.org/wiki/Conrad_Ricamora,University of Tennessee,Queens University of Charlotte,,9,4,4,6,0
Kelli Barrett,2023,Parade,https://en.wikipedia.org/wiki/Kelli_Barrett,University of the Arts,,,7,8,21,29,0
Sara Topham,2022,Leopoldstadt,https://en.wikipedia.org/wiki/Sara_Topham,University of Victoria,,,25,,,0,0
Sean Allan Krill,2023,Parade,https://en.wikipedia.org/wiki/Sean_Allan_Krill,Wayne State University,,,13,4,5,8,1
Michael James Scott,2011,The Book of Mormon,https://en.wikipedia.org/wiki/Michael_James_Scott,Webster University,,,25,3,4,1,6
Beanie Feldstein,2022,Funny Girl,https://en.wikipedia.org/wiki/Beanie_Feldstein,Wesleyan University,,Jonah Hill (brother),2,8,15,20,2
Lin-Manuel Miranda,2015,Hamilton,https://en.wikipedia.org/wiki/Lin-Manuel_Miranda,Wesleyan University,,"Luis A. Miranda Jr. (father)
Luz Towns-Miranda (mother)",15,22,36,17,41
John Behlmann,2023,Shucked,https://en.wikipedia.org/wiki/John_Behlmann,Wesleyan University,,,,10,10,20,0
Lauren Zakrin,2023,Once Upon a One More Time,https://en.wikipedia.org/wiki/Lauren_Zakrin,Western Michigan University,,,14,,,2,0
Patrick Page,2019,Hadestown,https://en.wikipedia.org/wiki/Patrick_Page,Whitman College,,,25,6,15,15,4
Andrew Burnap,2023,Camelot,https://en.wikipedia.org/wiki/Andrew_Burnap,Yale University,University of Rhode Island,,6,5,6,9,2
Brian Tyree Henry,2011,The Book of Mormon,https://en.wikipedia.org/wiki/Brian_Tyree_Henry,Yale University,Morehouse College,,7,0,17,3,14
James Naughton,1996,Chicago,https://en.wikipedia.org/wiki/James_Naughton,Yale University,Brown University,"David Naughton (brother, younger)",,,,0,0
Amber Ardolino,2019,Moulin Rouge! The Musical,,,,,7,,,,
Brandt Martinez,2014,Aladdin,,,,,11,,,,
Darius Wright,2022,MJ The Musical,,,,,6,,,,
James Romney,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,6,,,,
Jaygee Macapugay,2023,Shucked,,,,,4,,,,
Jeigh Madjus,2019,Moulin Rouge! The Musical,,,,,4,,,,
Jessie Fisher,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,5,,,,
Morgan Marcell,2015,Hamilton,,,,,10,,,,
Rema Webb,2011,The Book of Mormon,,,,,18,,,,
"Aaron ""AJ"" Mercado",2023,Here Lies Love,,,,,,,,,
Aaron Alcaraz,2023,Here Lies Love,,,,,,,,,
Aaron C. Finley,2019,Moulin Rouge! The Musical,,,,,,,,,
Aaron James McKenzie,2022,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,,,
Aaron Neil,2022,Leopoldstadt,,,,,,,,,
Aaron Nicholas Patterson,2023,"New York, New York",,,,,,,,,
Aaron Shuf,2022,Leopoldstadt,,,,,,,,,
Abby Matsusaka,2022,Some Like It Hot,,,,,,,,,
Abby Mueller,2021,Six,,,,,,,,,
Adam Heller,2022,Some Like It Hot,,,,,,,,,
Adam Kaokept,2014,Aladdin,,,,,,,,,
Adeola Role,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,,,
Adi Dixit,2023,Life of Pi,,,,,,,,,
Adrianna Mitchell,2023,Fat Ham,,,,,,,,,
Afra Hines,2019,Hadestown,,,,,25,,,,
Ahmad Simmons,2019,Hadestown,,,,,,,,,
Aisha Jackson,2023,Once Upon a One More Time,,,,,,,,,
Akina Kitazawa,2023,"New York, New York",,,,,,,,,
Alaina Vi Maderal,2022,& Juliet,,,,,,,,,
Alan Wiggins,2023,Shucked,,,,,,,,,
Alanna Saunders,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,,,
Alberto Cruz Jr.,1997,The Lion King,,,,,,,,,
Aleks Pevec,2014,Aladdin,,,,,,,,,
Alex Hairston,2022,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,,,
Alex Joseph Grayson,2023,Parade,,,,,,,,,
Alex Prakken,2023,"New York, New York",,,,,,,,,
Alex Vinh,2022,Kimberly Akimbo,,,,,,,,,
Alexandria Lewis,2023,Fat Ham,,,,,,,,,
Aliah James,2022,Funny Girl,,,,,,,,,
Alicia Kaori,2023,Sweeney Todd,,,,,,,,,
Alicia Lundgren,2022,Funny Girl,,,,,,,,,
Allison Blackwell,2023,"New York, New York",,,,,,,,,
Alysha Deslorieux,2015,Hamilton,,,,,,,,,
Alyssa Emily Marvin,2023,Grey House,,,,,,,,,
Amber Owens,2022,Some Like It Hot,,,,,,,,,
Amy Hillner Larsen,2023,Once Upon a One More Time,,,,,,,,,
Andrew Cao,2014,Aladdin,,,,,,,,,
Andrew Chappelle,2015,Hamilton,,,,,,,,,
Andrew Durand,2023,Shucked,,,,,,,,,
Andrew Long,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,,,
Andrew Palermo,2003,Wicked,,,,,,,,,
Andrew Wilson,2023,Life of Pi,,,,,,,,,
Andy Grotelueschen,2023,The Sign in Sidney Brustein's Window,,,,,,,,,
Andy Pellick,2003,Wicked,,,,,,,,,
Angel Sigala,2023,"New York, New York",,,,,,,,,
Angela Reed,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,,,
Angelo Soriano,2023,Here Lies Love,,,,,,,,,
Ann Sanders,2023,Camelot,,,,,,,,,
Anthony Michael Lopez,2023,Camelot,,,,,,,,,
Anthony Rosenthal,2022,Leopoldstadt,,,,,,,,,
Antoine L. Smith,2022,MJ The Musical,,,,,,,,,
Apollo Levine,2022,MJ The Musical,,,,,,,,,
Aramie Payton,2022,MJ The Musical,,,,,,,,,
Ariel Reid,2014,Aladdin,,,,,,,,,
Arty Froushan,2022,Leopoldstadt,,,,,,,,,
Ashi K. Smythe,1997,The Lion King,,,,,,,,,
Ashley Blair Fitzgerald,2023,"New York, New York",,,,,,,,,
Ashley Chiu,2023,Once Upon a One More Time,,,,,,,,,
Ashley D. Kelley,2023,Shucked,,,,,,,,,
Ashley Elizabeth Hale,2022,Some Like It Hot,,,,,,,,,
Ashley Loren,2019,Moulin Rouge! The Musical,,,,,,,,,
Ashlyn Maddox,2023,Parade,,,,,,,,,
Aubrey Lynch II,1997,The Lion King,,,,,,,,,
Audrey Cardwell,2023,Shucked,,,,,,,,,
Aurelia Williams,2023,Parade,,,,,,,,,
Austin Smith,2015,Hamilton,,,,,,,,,
Ava Michele Hyl,2022,Leopoldstadt,,,,,,,,,
Avery Glymph,2023,Life of Pi,,,,,,,,,
Ayana George,2022,MJ The Musical,,,,,,,,,
Bahiyah Hibah,2019,Moulin Rouge! The Musical,,,,,,,,,
Bailee Endebrock,2023,Parade,,,,,,,,,
Ben Cameron,2003,Wicked,,,,,,,,,
Ben Davis,2023,"New York, New York",,,,,,,,,
Ben Jackson Walker,2022,& Juliet,,,,,,,,,
Benja Kay Thomas,2023,Fat Ham,,,,,,,,,
Benjamin Schrader,2011,The Book of Mormon,,,,,,,,,
Benjamin Wheelwright,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,,,
Beth Kirkpatrick,2023,Parade,,,,,,,,,
Betsy Rosen,2023,Life of Pi,,,,,,,,,
Bianca Horn,2023,Peter Pan Goes Wrong,,,,,,,,,
Billy Eugene Jones,2023,Fat Ham,,,,,,,,,
"Bobby ""Pocket"" Horner",2022,& Juliet,,,,,,,,,
Bobby Pestka,2014,Aladdin,,,,,,,,,
Brandon Antonio,2022,& Juliet,,,,,,,,,
Brandon O'Neill,2014,Aladdin,,,,,,,,,
Brenann Stacker,2023,Peter Pan Goes Wrong,,,,,,,,,
Brendon Stimson,2022,Some Like It Hot,,,,,,,,,
Bri Sudia,2022,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,,,
Brian Abraham,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,,,
Brian Gonzales,2014,Aladdin,,,,,,,,,
Brian Martin,2022,Some Like It Hot,,,,,,,,,
Brian Sears,2011,The Book of Mormon,,,,,,,,,
Brian Thomas Abraham,2023,Life of Pi,,,,,,,,,
Brinie Wallace,2022,"A Beautiful Noise, The Neil Diamond Musical",,,,,,,,,
Britney Nicole Simpson,2023,Camelot,,,,,,,,,
Brittany Nicholas,2022,& Juliet,,,,,,,,,
Brittney Mack,2021,Six,,,,,,,,,
Brontë England-Nelson,2023,The Sign in Sidney Brustein's Window,,,,,,,,,
Bruce Anthony Davis,1996,Chicago,,,,,,,,,
Bryan J. Cortés,2023,"New York, New York",,,,,,,,,
Bud Weber,2014,Aladdin,,,,,,,,,
Byron Jennings,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,,,
Caitlin Carter,1996,Chicago,,,,,,,,,
Caleb Marshall,2019,Moulin Rouge! The Musical,,,,,,,,,
Calvin James Davis,2022,Leopoldstadt,,,,,,,,,
Calvin Leon Smith,2023,Fat Ham,,,,,,,,,
Camden McKinnon,2023,Camelot,,,,,,,,,
Camille M. Brown,1997,The Lion King,,,,,,,,,
Carina-Kay Louchiey,2022,MJ The Musical,,,,,,,,,
Carleigh Bettiol,2015,Hamilton,,,,,,,,,
Carol Angeli,2023,Here Lies Love,,,,,,,,,
Caroline Fairweather,2023,Parade,,,,,,,,,
Casey Garvin,2022,Some Like It Hot,,,,,,,,,
Celia Mei Rubin,2023,Life of Pi,,,,,,,,,
Charles South,2022,Some Like It Hot,,,,,,,,,
Charlie Russell,2023,Peter Pan Goes Wrong,,,,,,,,,
Charlie Webb,2023,Parade,,,,,,,,,
Charlotte Graham,2022,Leopoldstadt,,,,,,,,,
Chase Ramsey,2011,The Book of Mormon,,,,,,,,,
Chris Herbie Holland,2023,Fat Ham,,,,,,,,,
Chris Leask,2023,Peter Pan Goes Wrong,,,,,,,,,
Christian Mark Gibbs,2023,Camelot,,,,,,,,,
Christian Wilson,2022,MJ The Musical,,,,,,,,,
Christine Yasunaga,1997,The Lion King,,,,,,,,,
Christopher Gurr,2023,Parade,,,,,,,,,
Christopher James Stevens,2022,Leopoldstadt,,,,,,,,,
Claire Karpen,2023,Grey House,,,,,,,,,
Clark Johnsen,2011,The Book of Mormon,,,,,,,,,
Colby Kipnes,2023,Grey House,,,,,,,,,
Colin Bradbury,2022,Funny Girl,,,,,,,,,
Colleen Litchfield,2022,Leopoldstadt,,,,,,,,,
Corey Brill,2022,Leopoldstadt,,,,,,,,,
Corinne McFadden,2003,Wicked,,,,,,,,,
Courtnee Carter,2023,Parade,,,,,,,,,
Courtney Mack,2021,Six,,,,,,,,,
Cristy Candler,2003,Wicked,,,,,,,,,
Cyndi Coyne,2023,Grey House,,,,,,,,,
D. Sabella,1996,Chicago,,,,,,,,,
Daisy Hobbs,2014,Aladdin,,,,,,,,,
Dani Arlington,2023,Prima Facie,,,,,,,,,
Daniel Beeman,2022,Funny Girl,,,,,,,,,
Daniel Cantor,2022,Leopoldstadt,,,,,,,,,
Daniel J. Maldonado,2022,& Juliet,,,,,,,,,
Daniel Reece,2023,Grey House,,,,,,,,,
Daniel Torres,2023,Sweeney Todd,,,,,,,,,
Danielle Kelsey,2022,Funny Girl,,,,,,,,,
Danielle Lee Greaves,2023,Parade,,,,,,,,,
Danny Wolohan,2023,Camelot,,,,,,,,,
Darlesia Cearcy,2011,The Book of Mormon,,,,,,,,,
Dave Register,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,,,
David Abeles,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,,,
David Hughey,2023,Camelot,,,,,,,,,
David Shih,2023,Life of Pi,,,,,,,,,
David St. Louis,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,,,
David Warren-Gibson,1996,Chicago,,,,,,,,,
Davis Wayne,2023,"New York, New York",,,,,,,,,
Dayna Marie Quincy,2023,"New York, New York",,,,,,,,,
Debra Cardona,2022,Funny Girl,,,,,,,,,
DeLaney Westfall,2023,Sweeney Todd,,,,,,,,,
Delphi Borich,2023,Camelot,,,,,,,,,
DeMarius R. Copes,2022,Some Like It Hot,,,,,,,,,
Dennis Stowe,2014,Aladdin,,,,,,,,,
Derrick Williams,2003,Wicked,,,,,,,,,
Devin Trey Campbell,2022,MJ The Musical,,,,,,,,,
Devon Hadsell,2022,Some Like It Hot,,,,,,,,,
Diana Vaden,2023,Once Upon a One More Time,,,,,,,,,
Don Darryl Rivera,2014,Aladdin,,,,,,,,,
Donald Jones Jr.,2014,Aladdin,,,,,,,,,
Douglas Lyons,2023,Parade,,,,,,,,,
Drew Redington,2023,"New York, New York",,,,,,,,,
Drew Squire,2022,Leopoldstadt,,,,,,,,,
Dwayne Clark,2023,Shucked,,,,,,,,,
Dwayne Cooper,2023,Sweeney Todd,,,,,,,,,
Dylan Paul,2019,Moulin Rouge! The Musical,,,,,,,,,
Dylan S. Wallach,2022,Leopoldstadt,,,,,,,,,
Eamon Patrick O'Connell,2023,Grey House,,,,,,,,,
Eden Epstein,2022,Leopoldstadt,,,,,,,,,
Edward James Hyland,2018,"Harry Potter and the Cursed Child, Parts One and Two",,,,,,,,,
Edwin Joseph,2023,Camelot,,,,,,,,,
Ellie Morris,2023,Peter Pan Goes Wrong,,,,,,,,,
Emily Rose DeMartino,2023,Parade,,,,,,,,,
Emma Safiyah Haeri,2023,Grey House,,,,,,,,,
Endalyn Taylor-Shellman,1997,The Lion King,,,,,,,,,
Ephie Aardema,2022,Funny Girl,,,,,,,,,
Erin Rose Doyle,2023,Parade,,,,,,,,,
Erin Rosenfeld,2023,Grey House,,,,,,,,,
Esther Antoine,2022,Some Like It Hot,,,,,,,,,
Eugene Barry-Hill,1997,The Lion King,,,,,,,,,
Evan Kinnane,2019,Moulin Rouge! The Musical,,,,,,,,,
Faca Kulu,1997,The Lion King,,,,,,,,,
Faye Castelow,2022,Leopoldstadt,,,,,,,,,
Felix Torrez-Ponce,2023,Sweeney Todd,,,,,,,,,
Fergie Philippe,2023,Camelot,,,,,,,,,
Fernell Hogan,2022,Kimberly Akimbo,,,,,,,,,
Florrie Bagel,2023,Parade,,,,,,,,,
Frank Viveros,2023,Camelot,,,,,,,,,
Frank Wright II,1997,The Lion King,,,,,,,,,
Fred Davis,2023,Life of Pi,,,,,,,,,
Fred Odgaard,2019,Moulin Rouge! The Musical,,,,,,,,,
Gabi Campo,2022,Some Like It Hot,,,,,,,,,
Gabriel Ruiz,2022,MJ The Musical,,,,,,,,,
Gabriella Enriquez,2023,"New York, New York",,,,,,,,,
Gabrielle Beckford,2023,Once Upon a One More Time,,,,,,,,,
Galyana Castillo,2023,Sweeney Todd,,,,,,,,,
Geena Quintos,2023,Here Lies Love,,,,,,,,,
Geoff Hoyle,1997,The Lion King,,,,,,,,,
Gina Ferrall,2022,Leopoldstadt,,,,,,,,,
Giovanni Bonaventura,2023,"New York, New York",,,,,,,,,
Graham Bowen,2011,The Book of Mormon,,,,,,,,,
Greg Tannahill,2023,Peter Pan Goes Wrong,,,,,,,,,
Gregory Connors,2023,The Sign in Sidney Brustein's Window,,,,,,,,,
Gus Birney,2023,The Sign in Sidney Brustein's Window,,,,,,,,,
Haley Fish,2023,"New York, New York",,,,,,,,,
Harry Bouvy,2023,Parade,,,,,,,,,
Harry Kershaw,2023,Peter Pan Goes Wrong,,,,,,,,,
Hennessy Winkler,2023,Sweeney Todd,,,,,,,,,
Henry Lewis,2023,Peter Pan Goes Wrong,,,,,,,,,
Holly Gould,2023,Camelot,,,,,,,,,
Holly James,2019,Moulin Rouge! The Musical,,,,,,,,,
Ian Campayno,2022,Some Like It Hot,,,,,,,,,
Ian Liberto,2023,"New York, New York",,,,,,,,,
Ioana Alfonso,2003,Wicked,,,,,,,,,
Iresol Cardona,1997,The Lion King,,,,,,,,,
Isabella Ye,2023,Once Upon a One More Time,,,,,,,,,
J. Harrison Ghee,2022,Some Like It Hot,,,,,,,,,
J. Loeffelholtz,1996,Chicago,,,,,,,,,
Jackson Teeley,2023,Parade,,,,,,,,,
Jacob Burns,2023,Once Upon a One More Time,,,,,,,,,
Jacqueline B. Arnold,2019,Moulin Rouge! The Musical,,,,,,,,,
Jacqueline Jarrold,2022,Leopoldstadt,,,,,,,,,
Jake Pedersen,2023,Parade,,,,,,,,,
Jamie Jackson,2023,Sweeney Todd,,,,,,,,,
Jan Neuberger,2003,Wicked,,,,,,,,,
Japhet Balaban,2022,Leopoldstadt,,,,,,,,,
Jared Grimes,2022,Funny Girl,,,,,,,,,
"Jarvis B. Manning, Jr.",2022,Some Like It Hot,,,,,,,,,
Jasmine Forsberg,2023,Here Lies Love,,,,,,,,,
Jasmine Rafael,2022,& Juliet,,,,,,,,,
Jason Michael Snow,2011,The Book of Mormon,,,,,,,,,
Jaxon Cain Grundleger,2022,Leopoldstadt,,,,,,,,,
Jaz Sealey,2014,Aladdin,,,,,,,,,
